,dataset,algorithm,tta-operation,accuracy,error,number of weight
0,VocalSound,FCE,,91.0609857978279,8.939014202172103,97005989
1,VocalSound,FCE,aug-elect,90.36480089111669,9.635199108883313,97005989
2,VocalSound,FCE,multi-train,92.11918685602896,7.880813143971039,97005989
3,VocalSound,FCE,hybrid-elect,91.50654413812308,8.493455861876924,97005989
