,dataset,algorithm,tta-operation,accuracy,error,number of weight
0,VocalSound,CT,,88.08131439710387,11.918685602896133,99126028
1,VocalSound,CT,Aug_elect,88.4433305485937,11.556669451406293,99126028
2,VocalSound,CT,Mlt-train_elect,89.6964633806739,10.303536619326096,99126028
3,VocalSound,CT,Hybrid_elect,89.61292119186855,10.387078808131449,99126028
