,dataset,algorithm,tta-operation,accuracy,error,number of weight
0,AudioMNIST,FCE,,99.68333333333334,0.3166666666666629,99126548
1,AudioMNIST,FCE,aug-elect,99.63333333333333,0.36666666666667425,99126548
2,AudioMNIST,FCE,multi-train,99.7,0.29999999999999716,99126548
3,AudioMNIST,FCE,hybrid-elect,99.68333333333334,0.3166666666666629,99126548
