,dataset,algorithm,tta-operation,accuracy,error,number of weight
0,AudioMNIST,FCE,,99.93333333333332,0.06666666666667709,99126548
1,AudioMNIST,FCE,aug-elect,99.96666666666667,0.03333333333333144,99126548
2,AudioMNIST,FCE,multi-train,99.93333333333332,0.06666666666667709,99126548
3,AudioMNIST,FCE,hybrid-elect,99.95,0.04999999999999716,99126548
