,dataset,algorithm,tta-operation,accuracy,error,number of weight
0,speech-commands,CT,,95.90343818580834,4.096561814191659,96231868
1,speech-commands,CT,Aug_elect,96.04974396488662,3.9502560351133837,96231868
2,speech-commands,CT,Mlt-train_elect,96.34235552304315,3.657644476956847,96231868
3,speech-commands,CT,Hybrid_elect,96.28383321141185,3.716166788588154,96231868
