,dataset,algorithm,tta-operation,accuracy,error,number of weight
0,speech-commands,FCE,,95.932699341624,4.0673006583759985,103070780
1,speech-commands,FCE,,96.02048280907096,3.9795171909290445,103070780
2,speech-commands,FCE,,96.21068032187272,3.789319678127285,103070780
3,speech-commands,FCE,,96.3130943672275,3.6869056327724934,103070780
