,dataset,algorithm,tta-operation,accuracy,error,number of weight
0,CochlScene,FCE,,68.86951996877846,31.130480031221538,100976556
1,CochlScene,FCE,aug-elect,69.62404058800573,30.375959411994273,100976556
2,CochlScene,FCE,multi-train,72.45999739820476,27.540002601795237,100976556
3,CochlScene,FCE,hybrid-elect,72.57707818394692,27.422921816053076,100976556
